Rank,Probability,Label,SOC_Code,Occupation
46,0.009,0,29-1111,RegisteredNurses
47,0.0094,,21-1015,RehabilitationCounselors
48,0.0095,,25-3999,"TeachersandInstructors,AllOther"
49,0.0095,,19-4092,ForensicScienceTechnicians
50,0.01,,39-5091,"MakeupArtists,TheatricalandPerformance"
51,0.01,,17-2121,MarineEngineersandNavalArchitects
52,0.01,,11-9033,"EducationAdministrators,Postsecondary"
53,0.011,,17-2141,MechanicalEngineers
54,0.012,,29-1051,Pharmacists
55,0.012,,13-1081,Logisticians
56,0.012,,19-1022,Microbiologists
57,0.012,,19-3032,Industrial-OrganizationalPsychologists
58,0.013,,27-2022,CoachesandScouts
59,0.013,,11-2022,SalesManagers
60,0.014,,19-2043,Hydrologists
61,0.014,,11-2021,MarketingManagers
62,0.014,0,21-1013,MarriageandFamilyTherapists
63,0.014,,17-2199,"Engineers,AllOther"
64,0.014,,13-1151,TrainingandDevelopmentSpecialists
65,0.014,,43-1011,First-LineSupervisorsofOfficeandAdministrativeSupportWorkers
66,0.015,,19-1029,"BiologicalScientists,AllOther"
67,0.015,,11-2031,PublicRelationsandFundraisingManagers
68,0.015,,27-1014,MultimediaArtistsandAnimators
69,0.015,,15-1111,ComputerandInformationResearchScientists
70,0.015,0,11-1011,ChiefExecutives
71,0.015,0,11-9031,"EducationAdministrators,PreschoolandChildcareCenter/Program"
72,0.015,,27-2041,MusicDirectorsandComposers
73,0.016,,51-1011,First-LineSupervisorsofProductionandOperatingWorkers
74,0.016,,41-3031,"Securities,Commodities,andFinancialServicesSalesAgents"
75,0.016,,19-1031,ConservationScientists
76,0.016,,25-2053,"SpecialEducationTeachers,MiddleSchool"
77,0.017,,17-2041,ChemicalEngineers
78,0.017,,11-9041,ArchitecturalandEngineeringManagers
79,0.017,,17-2011,AerospaceEngineers
80,0.018,,11-9121,NaturalSciencesManagers
81,0.018,,17-2081,EnvironmentalEngineers
82,0.018,,17-1011,"Architects,ExceptLandscapeandNaval"
83,0.018,,31-2021,PhysicalTherapistAssistants
84,0.019,0,17-2051,CivilEngineers
85,0.02,,29-1199,"HealthDiagnosingandTreatingPractitioners,AllOther"
86,0.021,,19-1013,SoilandPlantScientists
87,0.021,,19-2032,MaterialsScientists
88,0.021,,17-2131,MaterialsEngineers
89,0.021,0,27-1022,FashionDesigners
90,0.021,,29-1123,PhysicalTherapists
91,0.021,,27-4021,Photographers
92,0.022,,27-2012,ProducersandDirectors
93,0.022,,27-1025,InteriorDesigners
94,0.023,,29-1023,Orthodontists
95,0.023,,27-1011,ArtDirectors
96,0.025,,33-1011,First-LineSupervisorsofCorrectionalOfficers
97,0.025,,21-2021,"Directors,ReligiousActivitiesandEducation"
98,0.025,,17-2072,"ElectronicsEngineers,ExceptComputer"
99,0.027,,19-1021,BiochemistsandBiophysicists
100,0.027,,29-1011,Chiropractors
101,0.028,,31-2011,OccupationalTherapyAssistants
102,0.028,,21-1021,"Child,Family,andSchoolSocialWorkers"
103,0.028,,17-2111,"HealthandSafetyEngineers,ExceptMiningSafetyEngineersandIn-"
104,0.029,,17-2112,IndustrialEngineers
105,0.029,,53-1031,First-LineSupervisorsofTransportationandMaterial-MovingMachine
106,0.029,,29-2056,VeterinaryTechnologistsandTechnicians
107,0.03,,11-3051,IndustrialProductionManagers
108,0.03,,17-3026,IndustrialEngineeringTechnicians
109,0.03,,15-1142,NetworkandComputerSystemsAdministrators
110,0.03,,15-1141,DatabaseAdministrators
111,0.03,,11-3061,PurchasingManagers
112,0.032,,25-1000,PostsecondaryTeachers
113,0.033,,19-2041,"EnvironmentalScientistsandSpecialists,IncludingHealth"
114,0.033,0,21-1011,SubstanceAbuseandBehavioralDisorderCounselors
115,0.035,0,23-1011,Lawyers
116,0.035,,27-1012,CraftArtists
117,0.035,,15-2031,OperationsResearchAnalysts
118,0.035,,11-3021,ComputerandInformationSystemsManagers
119,0.037,,27-1021,CommercialandIndustrialDesigners
120,0.037,,17-2031,BiomedicalEngineers
121,0.037,0,13-1121,"Meeting,Convention,andEventPlanners"
122,0.038,,29-1131,Veterinarians
123,0.038,,27-3043,WritersandAuthors
124,0.039,,11-2011,AdvertisingandPromotionsManagers
125,0.039,,19-3094,PoliticalScientists
126,0.04,,13-2071,CreditCounselors
127,0.04,,19-3099,"SocialScientistsandRelatedWorkers,AllOther"
128,0.041,,19-2011,Astronomers
129,0.041,,53-5031,ShipEngineers
130,0.042,,15-1132,"SoftwareDevelopers,Applications"
131,0.042,,27-1013,"FineArtists,IncludingPainters,Sculptors,andIllustrators"
132,0.043,,29-2053,PsychiatricTechnicians
133,0.045,0,17-1012,LandscapeArchitects
134,0.045,,21-1091,HealthEducators
135,0.047,,15-2021,Mathematicians
136,0.047,,27-1023,FloralDesigners
137,0.047,,11-9013,"Farmers,Ranchers,andOtherAgriculturalManagers"
138,0.048,,33-2022,ForestFireInspectorsandPreventionSpecialists
139,0.049,,29-2041,EmergencyMedicalTechniciansandParamedics
140,0.055,,27-3041,Editors
141,0.055,,29-1024,Prosthodontists
142,0.055,0,29-9799,"HealthcarePractitionersandTechnicalWorkers,AllOther"
143,0.057,,39-7012,TravelGuides
144,0.058,,29-2061,LicensedPracticalandLicensedVocationalNurses
145,0.059,,19-3041,Sociologists
146,0.06,,23-1022,"Arbitrators,Mediators,andConciliators"
147,0.061,,19-1011,AnimalScientists
148,0.064,,39-9041,ResidentialAdvisors
149,0.066,,53-1011,AircraftCargoHandlingSupervisors
150,0.066,,29-1126,RespiratoryTherapists
151,0.067,,27-3021,BroadcastNewsAnalysts
152,0.069,,11-3031,FinancialManagers
153,0.07,,17-2161,NuclearEngineers
154,0.071,,11-9021,ConstructionManagers
155,0.074,,27-2042,MusiciansandSingers
156,0.075,,41-1012,First-LineSupervisorsofNon-RetailSalesWorkers
157,0.076,,39-1021,First-LineSupervisorsofPersonalServiceWorkers
158,0.077,,19-1012,FoodScientistsandTechnologists
159,0.08,0,13-1041,ComplianceOfficers
160,0.08,,33-3031,FishandGameWardens
161,0.082,,27-1024,GraphicDesigners
162,0.083,,11-9051,FoodServiceManagers
163,0.084,0,39-9011,ChildcareWorkers
164,0.085,,39-9031,FitnessTrainersandAerobicsInstructors
165,0.091,,11-9071,GamingManagers
166,0.097,,49-9051,ElectricalPower-LineInstallersandRepairers
167,0.098,,33-3051,PoliceandSheriff’sPatrolOfficers
168,0.099,,41-3041,TravelAgents
169,0.1,0,35-1011,ChefsandHeadCooks
170,0.1,,39-2011,AnimalTrainers
171,0.1,,27-3011,RadioandTelevisionAnnouncers
172,0.1,0,17-2071,ElectricalEngineers
173,0.1,,19-2031,Chemists
174,0.1,,29-2054,RespiratoryTherapyTechnicians
175,0.1,0,19-2012,Physicists
176,0.11,0,39-5012,"Hairdressers,Hairstylists,andCosmetologists"
177,0.11,,27-3022,ReportersandCorrespondents
178,0.11,,53-2021,AirTrafficControllers
179,0.13,,27-2031,Dancers
180,0.13,,29-2033,NuclearMedicineTechnologists
181,0.13,,15-1133,"SoftwareDevelopers,SystemsSoftware"
182,0.13,,13-1111,ManagementAnalysts
183,0.13,,29-2051,DieteticTechnicians
184,0.13,,19-3051,UrbanandRegionalPlanners
185,0.13,,21-1093,SocialandHumanServiceAssistants
186,0.13,,25-3021,Self-EnrichmentEducationTeachers
187,0.13,,27-4014,SoundEngineeringTechnicians
188,0.14,,29-1041,Optometrists
189,0.14,,17-2151,"MiningandGeologicalEngineers,IncludingMiningSafetyEngineers"
190,0.14,,29-1071,PhysicianAssistants
191,0.15,,25-2012,"KindergartenTeachers,ExceptSpecialEducation"
192,0.15,,47-2111,Electricians
193,0.16,,17-2171,PetroleumEngineers
194,0.16,,43-9031,DesktopPublishers
195,0.16,,11-1021,GeneralandOperationsManagers
196,0.17,,29-9011,OccupationalHealthandSafetySpecialists
197,0.17,,33-2011,Firefighters
198,0.17,,13-2061,FinancialExaminers
199,0.17,,47-1011,First-LineSupervisorsofConstructionTradesandExtractionWorkers
200,0.17,,25-2022,"MiddleSchoolTeachers,ExceptSpecialandCareer/Technical Educa-"
201,0.18,,27-3031,PublicRelationsSpecialists
202,0.18,,49-9092,CommercialDivers
203,0.18,,49-9095,ManufacturedBuildingandMobileHomeInstallers
204,0.18,,53-2011,"AirlinePilots,Copilots,andFlightEngineers"
205,0.19,,25-3011,Adult Basic and Secondary Education and Literacy Teachers andIn-
206,0.2,,19-1041,Epidemiologists
207,0.2,,39-4831,"FuneralServiceManagers,Directors,Morticians,andUndertakers"
208,0.21,,15-1179,"Information Security Analysts, Web Developers, and Computer Net-"
209,0.21,,15-2011,Actuaries
210,0.21,,33-9011,AnimalControlWorkers
211,0.21,0,39-6012,Concierges
212,0.22,,15-1799,"ComputerOccupations,AllOther"
213,0.22,,15-2041,Statisticians
214,0.22,,17-2061,ComputerHardwareEngineers
215,0.23,,19-3022,SurveyResearchers
216,0.23,,13-1199,"BusinessOperationsSpecialists,AllOther"
217,0.23,,13-2051,FinancialAnalysts
218,0.23,,29-2037,RadiologicTechnologistsandTechnicians
219,0.23,,29-2031,CardiovascularTechnologistsandTechnicians
220,0.24,,13-1011,"AgentsandBusinessManagersofArtists,Performers,andAthletes"
221,0.24,,17-3029,"EngineeringTechnicians,ExceptDrafters,AllOther"
222,0.25,,19-3092,Geographers
223,0.25,,29-9012,OccupationalHealthandSafetyTechnicians
224,0.25,,21-1092,ProbationOfficersandCorrectionalTreatmentSpecialists
225,0.25,,17-3025,EnvironmentalEngineeringTechnicians
226,0.25,,11-9199,"Managers,AllOther"
227,0.25,,53-3011,"AmbulanceDriversandAttendants,ExceptEmergencyMedicalTech-"
228,0.25,,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and"
229,0.26,,25-2023,"Career/TechnicalEducationTeachers,MiddleSchool"
230,0.27,,53-5021,"Captains,Mates,andPilotsofWaterVessels"
231,0.27,,31-2012,OccupationalTherapyAides
232,0.27,,49-9062,MedicalEquipmentRepairers
233,0.28,,41-1011,First-LineSupervisorsofRetailSalesWorkers
234,0.28,0,27-2021,AthletesandSportsCompetitors
235,0.28,,39-1011,GamingSupervisors
236,0.29,,39-5094,SkincareSpecialists
237,0.29,,13-1022,"WholesaleandRetailBuyers,ExceptFarmProducts"
238,0.3,,19-4021,BiologicalTechnicians
239,0.3,,31-9092,MedicalAssistants
240,0.3,0,19-1023,ZoologistsandWildlifeBiologists
241,0.3,,35-2013,"Cooks,PrivateHousehold"
242,0.31,,13-1078,"HumanResources,Training,andLaborRelationsSpecialists,AllOther"
243,0.31,,33-9021,PrivateDetectivesandInvestigators
244,0.31,,27-4032,FilmandVideoEditors
245,0.33,,13-2099,"FinancialSpecialists,AllOther"
246,0.34,,33-3021,DetectivesandCriminalInvestigators
247,0.34,,29-2055,SurgicalTechnologists
248,0.34,,29-1124,RadiationTherapists
249,0.35,0,47-2152,"Plumbers,Pipefitters,andSteamfitters"
250,0.35,0,53-2031,FlightAttendants
251,0.35,,29-2032,DiagnosticMedicalSonographers
252,0.36,,33-3011,Bailiffs
253,0.36,,51-4012,"ComputerNumericallyControlledMachineToolProgrammers,Metal"
254,0.36,,49-2022,"Telecommunications EquipmentInstallersandRepairers,ExceptLine"
255,0.37,,51-9051,"Furnace,Kiln,Oven,Drier,andKettleOperatorsandTenders"
256,0.37,,53-7061,CleanersofVehiclesandEquipment
257,0.37,,39-4021,FuneralAttendants
258,0.37,,47-5081,Helpers–ExtractionWorkers
259,0.37,,27-2011,Actors
260,0.37,,53-7111,MineShuttleCarOperators
261,0.38,,49-2095,"ElectricalandElectronicsRepairers,Powerhouse,Substation,andRe-"
262,0.38,1,17-1022,Surveyors
263,0.38,,17-3027,MechanicalEngineeringTechnicians
264,0.38,,53-7064,"PackersandPackagers,Hand"
265,0.38,,27-3091,InterpretersandTranslators
266,0.39,,31-1011,HomeHealthAides
267,0.39,,51-6093,Upholsterers
268,0.39,,47-4021,ElevatorInstallersandRepairers
269,0.39,,43-3041,GamingCageWorkers
270,0.39,,25-9011,Audio-VisualandMultimediaCollectionsSpecialists
271,0.4,0,23-1023,"Judges,MagistrateJudges,andMagistrates"
272,0.4,,49-3042,"MobileHeavyEquipmentMechanics,ExceptEngines"
273,0.4,,29-2799,"HealthTechnologistsandTechnicians,AllOther"
274,0.41,,45-2041,"GradersandSorters,AgriculturalProducts"
275,0.41,,51-2041,StructuralMetalFabricatorsandFitters
276,0.41,1,23-1012,JudicialLawClerks
277,0.41,,49-2094,"ElectricalandElectronicsRepairers,CommercialandIndustrialEquip-"
278,0.42,,19-4093,ForestandConservationTechnicians
279,0.42,,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers,"
280,0.43,,39-3093,"LockerRoom,Coatroom,andDressingRoomAttendants"
281,0.43,,19-2099,"PhysicalScientists,AllOther"
282,0.43,0,19-3011,Economists
283,0.44,,19-3093,Historians
284,0.45,,51-9082,MedicalApplianceTechnicians
285,0.46,,43-4031,"Court,Municipal,andLicenseClerks"
286,0.47,,13-1141,"Compensation,Benefits,andJobAnalysisSpecialists"
287,0.47,,31-1013,PsychiatricAides
288,0.47,,29-2012,MedicalandClinicalLaboratoryTechnicians
289,0.48,,33-2021,FireInspectorsandInvestigators
290,0.48,,17-3021,AerospaceEngineeringandOperationsTechnicians
291,0.48,,27-1026,MerchandiseDisplayersandWindowTrimmers
292,0.48,,47-5031,"ExplosivesWorkers,OrdnanceHandlingExperts,andBlasters"
293,0.48,,15-1131,ComputerProgrammers
294,0.49,,33-9091,CrossingGuards
295,0.49,,17-2021,AgriculturalEngineers
296,0.49,,47-5061,"RoofBolters,Mining"
297,0.49,,49-9052,TelecommunicationsLineInstallersandRepairers
298,0.49,,43-5031,"Police,Fire,andAmbulanceDispatchers"
299,0.5,,53-7033,"LoadingMachineOperators,UndergroundMining"
300,0.5,,49-9799,"Installation,Maintenance,andRepairWorkers,AllOther"
301,0.5,,23-2091,CourtReporters
302,0.51,,41-9011,DemonstratorsandProductPromoters
303,0.51,,31-9091,DentalAssistants
304,0.52,,51-6041,ShoeandLeatherWorkersandRepairers
305,0.52,,17-3011,ArchitecturalandCivilDrafters
306,0.53,,47-5012,"RotaryDrillOperators,OilandGas"
307,0.53,,47-4041,HazardousMaterialsRemovalWorkers
308,0.54,,39-4011,Embalmers
309,0.54,,47-5041,ContinuousMiningMachineOperators
310,0.54,,39-1012,SlotSupervisors
311,0.54,,31-9011,MassageTherapists
312,0.54,,41-3011,AdvertisingSalesAgents
313,0.55,,49-3022,AutomotiveGlassInstallersandRepairers
314,0.55,,53-2012,CommercialPilots
315,0.55,,43-4051,CustomerServiceRepresentatives
316,0.55,,27-4011,AudioandVideoEquipmentTechnicians
317,0.56,,25-9041,TeacherAssistants
318,0.57,,45-1011,"First-LineSupervisorsofFarming,Fishing,andForestryWorkers"
319,0.57,,19-4031,ChemicalTechnicians
320,0.57,,47-3015,"Helpers–Pipelayers,Plumbers,Pipefitters,andSteamfitters"
321,0.57,1,13-1051,CostEstimators
322,0.57,,33-3052,TransitandRailroadPolice
323,0.57,,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and"
324,0.58,,13-2052,PersonalFinancialAdvisors
325,0.59,,49-9044,Millwrights
326,0.59,,25-4013,MuseumTechniciansandConservators
327,0.59,,47-5042,MineCuttingandChannelingMachineOperators
328,0.59,0,11-3071,"Transportation,Storage,andDistributionManagers"
329,0.59,,49-3092,RecreationalVehicleServiceTechnicians
330,0.59,,49-3023,AutomotiveServiceTechniciansandMechanics
331,0.6,,33-3012,CorrectionalOfficersandJailers
332,0.6,,27-4031,"CameraOperators,Television,Video,andMotionPicture"
333,0.6,,51-3023,SlaughterersandMeatPackers
334,0.61,,49-2096,"ElectronicEquipmentInstallersandRepairers,MotorVehicles"
335,0.61,,31-2022,PhysicalTherapistAides
336,0.61,,39-3092,CostumeAttendants
337,0.61,1,13-1161,MarketResearchAnalystsandMarketingSpecialists
338,0.61,,43-4181,ReservationandTransportationTicketAgentsandTravelClerks
339,0.61,,51-8031,WaterandWastewaterTreatmentPlantandSystemOperators
340,0.61,,19-4099,"Life,Physical,andSocialScienceTechnicians,AllOther"
341,0.61,,51-3093,FoodCookingMachineOperatorsandTenders
342,0.61,,51-4122,"Welding,Soldering,andBrazingMachineSetters,Operators,andTen-"
343,0.62,1,53-5022,MotorboatOperators
344,0.62,,47-2082,Tapers
345,0.62,,47-2151,Pipelayers
346,0.63,,19-2042,"Geoscientists,ExceptHydrologistsandGeographers"
347,0.63,,49-9012,"ControlandValveInstallersandRepairers,ExceptMechanicalDoor"
348,0.63,,31-9799,"HealthcareSupportWorkers,AllOther"
349,0.63,,35-1012,First-LineSupervisorsofFoodPreparationandServingWorkers
350,0.63,,47-4011,ConstructionandBuildingInspectors
351,0.64,,51-9031,"CuttersandTrimmers,Hand"
352,0.64,,49-9071,"MaintenanceandRepairWorkers,General"
353,0.64,,23-1021,"AdministrativeLawJudges,Adjudicators,andHearingOfficers"
354,0.64,,43-5081,StockClerksandOrderFillers
355,0.64,,51-8012,PowerDistributorsandDispatchers
356,0.64,,47-2132,"InsulationWorkers,Mechanical"
357,0.65,,19-4061,SocialScienceResearchAssistants
358,0.65,,51-4041,Machinists
359,0.65,,15-1150,ComputerSupportSpecialists
360,0.65,,25-4021,Librarians
361,0.65,,49-2097,ElectronicHomeEntertainmentEquipmentInstallersandRepairers
362,0.65,,49-9021,"Heating,AirConditioning,andRefrigerationMechanicsandInstallers"
363,0.65,,53-7041,HoistandWinchOperators
364,0.66,,37-2021,PestControlWorkers
365,0.66,,51-9198,Helpers–ProductionWorkers
366,0.66,,43-9111,StatisticalAssistants
367,0.66,,37-2011,"JanitorsandCleaners,ExceptMaidsandHousekeepingCleaners"
368,0.66,,49-3051,MotorboatMechanicsandServiceTechnicians
369,0.67,,51-9196,"PaperGoodsMachineSetters,Operators,andTenders"
370,0.67,,51-4071,FoundryMoldandCoremakers
371,0.67,,19-2021,AtmosphericandSpaceScientists
372,0.67,1,53-3021,"BusDrivers,TransitandIntercity"
373,0.67,,33-9092,"Lifeguards,SkiPatrol,andOtherRecreationalProtectiveServiceWork-"
374,0.67,,49-9041,IndustrialMachineryMechanics
375,0.68,,43-5052,PostalServiceMailCarriers
376,0.68,,47-5071,"Roustabouts,OilandGas"
377,0.68,,47-2011,Boilermakers
378,0.68,,17-3013,MechanicalDrafters
379,0.68,,29-2021,DentalHygienists
380,0.69,1,53-3033,LightTruckorDeliveryServicesDrivers
381,0.69,0,37-2012,MaidsandHousekeepingCleaners
382,0.69,,51-9122,"Painters,TransportationEquipment"
383,0.7,,43-4061,"EligibilityInterviewers,GovernmentPrograms"
384,0.7,,49-3093,TireRepairersandChangers
385,0.7,,51-3092,FoodBatchmakers
386,0.7,,49-2091,AvionicsTechnicians
387,0.71,,49-3011,AircraftMechanicsandServiceTechnicians
388,0.71,,53-2022,AirfieldOperationsSpecialists
389,0.71,,51-8093,"PetroleumPumpSystemOperators,RefineryOperators,andGaugers"
390,0.71,,47-4799,"ConstructionandRelatedWorkers,AllOther"
391,0.71,,29-2081,"Opticians,Dispensing"
392,0.71,,51-6011,LaundryandDry-CleaningWorkers
393,0.72,,39-3091,AmusementandRecreationAttendants
394,0.72,,31-9095,PharmacyAides
395,0.72,,47-3016,Helpers–Roofers
396,0.72,,53-7121,"TankCar,Truck,andShipLoaders"
397,0.72,,49-9031,HomeApplianceRepairers
398,0.72,,47-2031,Carpenters
399,0.72,,27-3012,PublicAddressSystemandOtherAnnouncers
400,0.73,,51-6063,"TextileKnittingandWeavingMachineSetters,Operators,andTenders"
401,0.73,,11-3011,AdministrativeServicesManagers
402,0.73,,47-2121,Glaziers
403,0.73,,51-2021,"CoilWinders,Tapers,andFinishers"
404,0.73,,49-3031,BusandTruckMechanicsandDieselEngineSpecialists
405,0.74,,49-2011,"Computer,AutomatedTeller,andOfficeMachineRepairers"
406,0.74,,39-9021,PersonalCareAides
407,0.74,,27-4012,BroadcastTechnicians
408,0.74,,47-3013,Helpers–Electricians
409,0.75,,11-9131,PostmastersandMailSuperintendents
410,0.75,,47-2044,TileandMarbleSetters
411,0.75,,47-2141,"Painters,ConstructionandMaintenance"
412,0.75,,53-6061,"TransportationAttendants,ExceptFlightAttendants"
413,0.75,1,17-3022,CivilEngineeringTechnicians
414,0.75,,49-3041,FarmEquipmentMechanicsandServiceTechnicians
415,0.76,,25-4011,Archivists
416,0.76,,51-9011,ChemicalEquipmentOperatorsandTenders
417,0.76,,49-2092,"ElectricMotor,PowerTool,andRelatedRepairers"
418,0.76,,45-4021,Fallers
419,0.77,,19-4091,"EnvironmentalScienceandProtectionTechnicians,IncludingHealth"
420,0.77,,49-9094,LocksmithsandSafeRepairers
421,0.77,,37-3013,TreeTrimmersandPruners
422,0.77,,35-3011,Bartenders
423,0.77,,13-1023,"PurchasingAgents,ExceptWholesale,Retail,andFarmProducts"
424,0.77,1,35-9021,Dishwashers
425,0.77,0,45-3021,HuntersandTrappers
426,0.78,,31-9093,MedicalEquipmentPreparers
427,0.78,,51-4031,"Cutting,Punching,andPressMachineSetters,Operators,andTenders,"
428,0.78,,43-9011,ComputerOperators
429,0.78,,51-8092,GasPlantOperators
430,0.79,,43-5053,"PostalServiceMailSorters,Processors,andProcessingMachineOper-"
431,0.79,,53-3032,HeavyandTractor-TrailerTruckDrivers
432,0.79,,39-5093,Shampooers
433,0.79,,47-2081,DrywallandCeilingTileInstallers
434,0.79,,49-9098,"Helpers–Installation,Maintenance,andRepairWorkers"
435,0.79,,49-3052,MotorcycleMechanics
436,0.79,,51-2011,"AircraftStructure,Surfaces,Rigging,andSystemsAssemblers"
437,0.79,,45-4022,LoggingEquipmentOperators
438,0.79,,47-2042,"FloorLayers,ExceptCarpet,Wood,andHardTiles"
439,0.8,,39-5011,Barbers
440,0.8,,47-5011,"DerrickOperators,OilandGas"
441,0.81,1,35-2011,"Cooks,FastFood"
442,0.81,,43-9022,WordProcessorsandTypists
443,0.81,1,17-3012,ElectricalandElectronicsDrafters
444,0.81,,17-3024,Electro-MechanicalTechnicians
445,0.81,,51-9192,"Cleaning,Washing,andMetalPicklingEquipmentOperatorsandTen-"
446,0.81,,11-9141,"Property,RealEstate,andCommunityAssociationManagers"
447,0.81,,43-6013,MedicalSecretaries
448,0.81,,51-6021,"Pressers,Textile,Garment,andRelatedMaterials"
449,0.82,,51-2031,EngineandOtherMachineAssemblers
450,0.82,,49-2098,SecurityandFireAlarmSystemsInstallers
451,0.82,,49-9045,"RefractoryMaterialsRepairers,ExceptBrickmasons"
452,0.82,,39-2021,NonfarmAnimalCaretakers
453,0.82,1,47-2211,SheetMetalWorkers
454,0.82,,47-2072,Pile-DriverOperators
455,0.82,,47-2021,BrickmasonsandBlockmasons
456,0.83,,45-3011,FishersandRelatedFishingWorkers
457,0.83,,47-2221,StructuralIronandSteelWorkers
458,0.83,,53-4021,"RailroadBrake,Signal,andSwitchOperators"
459,0.83,,53-4031,RailroadConductorsandYardmasters
460,0.83,,35-2012,"Cooks,InstitutionandCafeteria"
461,0.83,,53-5011,SailorsandMarineOilers
462,0.83,,51-9023,"MixingandBlendingMachineSetters,Operators,andTenders"
463,0.83,,47-3011,"Helpers–Brickmasons,Blockmasons,Stonemasons,andTileandMar-"
464,0.83,,47-4091,SegmentalPavers
465,0.83,,47-2131,"InsulationWorkers,Floor,Ceiling,andWall"
466,0.83,,51-5112,PrintingPressOperators
467,0.83,,53-6031,AutomotiveandWatercraftServiceAttendants
468,0.83,,47-4071,SepticTankServicersandSewerPipeCleaners
469,0.83,,39-6011,BaggagePortersandBellhops
470,0.83,,41-2012,GamingChangePersonsandBoothCashiers
471,0.83,,51-4023,"RollingMachineSetters,Operators,andTenders,MetalandPlastic"
472,0.83,,47-2071,"Paving,Surfacing,andTampingEquipmentOperators"
473,0.84,,51-4111,ToolandDieMakers
474,0.84,,17-3023,ElectricalandElectronicsEngineeringTechnicians
475,0.84,,47-2161,PlasterersandStuccoMasons
476,0.84,,51-4192,"LayoutWorkers,MetalandPlastic"
477,0.84,,51-4034,"LatheandTurningMachineToolSetters,Operators,andTenders,Metal"
478,0.84,,33-9032,SecurityGuards
479,0.84,,51-6052,"Tailors,Dressmakers,andCustomSewers"
480,0.84,,53-7073,WellheadPumpers
481,0.84,,43-9081,ProofreadersandCopyMarkers
482,0.84,,33-3041,ParkingEnforcementWorkers
483,0.85,,53-7062,"LaborersandFreight,Stock,andMaterialMovers,Hand"
484,0.85,,41-4012,"SalesRepresentatives,WholesaleandManufacturing,ExceptTechnical"
485,0.85,1,43-5041,"MeterReaders,Utilities"
486,0.85,,51-8013,PowerPlantOperators
487,0.85,,51-8091,ChemicalPlantandSystemOperators
488,0.85,,47-5021,"EarthDrillers,ExceptOilandGas"
489,0.85,,19-4051,NuclearTechnicians
490,0.86,,43-6011,ExecutiveSecretariesandExecutiveAdministrativeAssistants
491,0.86,,51-8099,"PlantandSystemOperators,AllOther"
492,0.86,,35-3041,"FoodServers,Nonrestaurant"
493,0.86,,51-7041,"SawingMachineSetters,Operators,andTenders,Wood"
494,0.86,,53-4041,SubwayandStreetcarOperators
495,0.86,,31-9096,VeterinaryAssistantsandLaboratoryAnimalCaretakers
